k                         CCL lin error            
9.56950748734e-08         -2.38945670348e-05       
1.20472961542e-07         -2.38931772811e-05       
1.51666472719e-07         -2.38909890154e-05       
1.90936776623e-07         -2.38875210541e-05       
2.40375160137e-07         -2.38820429987e-05       
3.0261439746e-07          -2.38733670582e-05       
3.80968954937e-07         -2.38596156828e-05       
4.79611498475e-07         -2.38378233141e-05       
6.03795103219e-07         -2.38032658755e-05       
7.6013299896e-07          -2.37485268133e-05       
9.56950748734e-07         -2.36617804232e-05       
1.20472961542e-06         -2.35243070693e-05       
1.51666472719e-06         -2.33064044898e-05       
1.90936776623e-06         -2.29610776865e-05       
2.40375160137e-06         -2.24137993156e-05       
3.0261439746e-06          -2.15463806157e-05       
3.80968954937e-06         -2.0171693203e-05        
4.79611498475e-06         -1.79929920308e-05       
6.03795103219e-06         -1.45400778015e-05       
7.6013299896e-06          -9.06786365023e-06       
9.56950748734e-06         7.97816215133e-08        
1.20472961542e-05         7.52131227964e-08        
1.51666472719e-05         1.40038403083e-07        
1.90936776623e-05         4.1304879279e-08         
2.40375160137e-05         7.20967646989e-09        
3.0261439746e-05          -1.94431492968e-08       
3.80968954937e-05         -6.71050748566e-09       
4.79611498475e-05         4.60968029595e-09        
6.03795103219e-05         8.8302411505e-09         
7.6013299896e-05          1.29810710156e-08        
9.56950748734e-05         2.33779396256e-08        
0.000120472961542         3.67212504547e-08        
0.000151666472719         5.62421716583e-08        
0.000190936776623         8.64850526785e-08        
0.000240375160137         1.33507755511e-07        
0.00030261439746          2.12261147267e-07        
0.000380968954937         3.40440624022e-07        
0.000479611498475         5.31448530233e-07        
0.000603795103219         8.15828625832e-07        
0.00076013299896          1.27905736858e-06        
0.000956950748734         1.92898220704e-06        
0.00120472961542          2.21823607892e-06        
0.00151666472719          1.55187129793e-06        
0.00190936776623          1.76147782095e-06        
0.00240375160137          -1.58078044806e-05       
0.0030261439746           -6.41545006448e-05       
0.00380968954937          6.69635015013e-06        
0.00479611498475          -4.28648835819e-05       
0.00603795103219          1.88569380253e-05        
0.0076013299896           -1.69955478101e-05       
0.0095695074871           3.4572232555e-05         
0.0120472953915           0.000114480771066        
0.0151663075424           0.000171954296407        
0.0190632943545           0.000239368207215        
0.0233662763924           7.28541383224e-05        
0.0266448496153           -9.39983194708e-05       
0.0291112295091           -0.000281895710899       
0.0312042804245           -0.000344624140785       
0.0331018643547           -0.000377141336837       
0.0348876905466           -0.000272616058194       
0.0366079073294           -0.000185712410201       
0.0382910081095           -1.95040959761e-05       
0.0399561294336           0.000218411772742        
0.0416169991411           0.000529590478612        
0.0432840108539           0.000936257390044        
0.0449654003117           0.00138934374238         
0.0466679537193           0.00183997418271         
0.0483974554375           0.002251721709           
0.0501589823592           0.00253090439771         
0.051957103903            0.00264356694762         
0.0537960216036           0.00255263202753         
0.0556796687219           0.00224976996262         
0.0576117826016           0.00177964903403         
0.059595957956            0.00111703309104         
0.0616356865042           0.00048629438764         
0.0637343866429           -0.000183047782033       
0.0658954257309           -0.000688612954119       
0.0681221368416           -0.000975357078192       
0.0704178313609           -0.0011646948999         
0.0727858084908           -0.0012515827216         
0.0752293625069           -0.00132040800706        
0.0777517884793           -0.0013161801225         
0.0803563870728           -0.00123124036726        
0.0830464689856           -0.00109324275048        
0.0858253595432           -0.000893805826364       
0.0886964039474           -0.000610967332634       
0.0916629736597           -0.000250562789981       
0.0947284743927           0.000163799915668        
0.0978963561747           0.00057914774832         
0.10117012595             0.000747483835665        
0.104553363174            0.000236453890686        
0.108049738871            -0.000334186998942       
0.11166303862             -0.00078750127124        
0.115397189972            -0.000689018809141       
0.119256294821            0.000166580972775        
0.123244667332            0.000592584592794        
0.12736687809             -0.000169085095469       
0.131627805298            -0.000684043927986       
0.136032694002            9.39725134879e-06        
0.140587224596            0.000300868875852        
0.145297592159            -9.92715948407e-05       
0.150170598657            -0.000200802930594       
0.155213760592            -0.000345287604234       
0.160435435473            -0.00012365918066        
0.165844971502            0.000403925086225        
0.171452886224            7.91329639985e-05        
0.17727108176             3.01780798684e-05        
0.18331310671             -0.000299587069874       
0.189594478277            -0.000357882109707       
0.196133082998            0.000424701779429        
0.202949681242            0.00030788239146         
0.210068550521            -0.000132867698077       
0.217518317005            -0.000292419049353       
0.225333046195            0.000393134697575        
0.233553696473            5.53635467515e-05        
0.242230090455            -0.000150829534427       
0.251423640932            0.000301890073894        
0.26121120291             1.8846598376e-05         
0.271690651892            3.87500188209e-05        
0.282989190541            6.98848073699e-05        
0.295276121159            0.000162267871927        
0.308783228343            0.000154251764737        
0.323838749527            0.000155681962524        
0.340926958272            8.81581080989e-05        
0.36079915878             0.000160656004248        
0.384695524836            0.000106146199591        
0.414824741096            0.000162984261479        
0.455479221251            0.00017147807601         
0.51562111296             0.000225849765371        
0.612507272367            0.000220127712968        
0.761486781277            0.000257620631291        
0.958106797812            0.000277299747332        
1.20617836938             0.000259932961954        
1.51848858591             0.000276650893797        
1.91166386831             0.000314666819861        
2.40664222263             0.000313874808066        
3.02978305116             0.000293821771141        
3.81427087533             0.000323037665478        
4.80188253242             0.000322046199067        
6.04521194452             0.000316056639688        
