k                         CCL lin error            
1.23735069584e-07         -1.52737439921e-05       
1.5577322343e-07          -1.52728118376e-05       
1.96106869453e-07         -1.52713213471e-05       
2.46883921381e-07         -1.52690426036e-05       
3.1080844239e-07          -1.52654806182e-05       
3.91284646326e-07         -1.5259830554e-05        
4.92598184504e-07         -1.52508928588e-05       
6.20144372276e-07         -1.5236711103e-05        
7.80715509239e-07         -1.52142516524e-05       
9.82862593963e-07         -1.51786713715e-05       
1.23735069584e-06         -1.51223105442e-05       
1.5577322343e-06          -1.50329615506e-05       
1.96106869453e-06         -1.4891380133e-05        
2.46883921381e-06         -1.4666994661e-05        
3.1080844239e-06          -1.43113698312e-05       
3.91284646326e-06         -1.37477372393e-05       
4.92598184504e-06         -1.28544530425e-05       
6.20144372276e-06         -1.14387654999e-05       
7.80715509239e-06         -9.19510414482e-06       
9.82862593963e-06         -5.63930336247e-06       
1.23735069584e-05         3.05196958919e-07        
1.5577322343e-05          1.09053042946e-07        
1.96106869453e-05         8.14687644379e-08        
2.46883921381e-05         5.35667406279e-08        
3.1080844239e-05          3.60317318623e-08        
3.91284646326e-05         1.67551980354e-08        
4.92598184504e-05         -3.81053732602e-08       
6.20144372276e-05         1.60944233187e-08        
7.80715509239e-05         2.2723806278e-08         
9.82862593963e-05         3.34672435059e-08        
0.000123735069584         5.09810407845e-08        
0.00015577322343          8.40848752034e-08        
0.000196106869453         1.26070541384e-07        
0.000246883921381         1.99338603026e-07        
0.00031080844239          3.13538176214e-07        
0.000391284646326         4.9391154098e-07         
0.000492598184504         7.89518629138e-07        
0.000620144372276         1.23782193721e-06        
0.000780715509239         1.94908638667e-06        
0.000982862593963         3.05669332383e-06        
0.00123735069584          4.711698052e-06          
0.0015577322343           3.62992493357e-06        
0.00196106869453          2.19979118756e-06        
0.00246883921381          1.69047997132e-06        
0.0031080844239           -1.6083895836e-05        
0.00391284646326          -5.87390681924e-05       
0.00492598184504          1.33530896191e-07        
0.00620144372276          -3.75465218343e-05       
0.00780715509239          4.43200076295e-06        
0.00982862593962          -2.34269234223e-05       
0.0123735068851           -2.93494757335e-06       
0.0155772621282           5.14036128621e-05        
0.0196018241817           7.93460984546e-05        
0.0243767584548           6.12701848196e-05        
0.0284711791967           -2.95479584124e-05       
0.0314290981627           -8.57902666736e-05       
0.0338572539604           -0.000116252491765       
0.0360200442836           -0.000146754006857       
0.0380344024212           -0.000177525218088       
0.0399618319751           -0.000102666049632       
0.0418390456602           -3.71171724097e-05       
0.0436900774698           4.50871768793e-05        
0.0455318204987           9.93935681511e-05        
0.0473768504808           0.000268797816642        
0.0492349899608           0.000434328191308        
0.051114232879            0.000626770702362        
0.0530213202139           0.000757947130334        
0.0549621138485           0.000859241070953        
0.056941847989            0.00091029274718         
0.0589653031767           0.000899796895748        
0.0610369296114           0.000827198259512        
0.0631609362441           0.000672962679211        
0.0653413561187           0.000435598927268        
0.0675820948331           0.00018646859201         
0.0698869667526           -6.96014132074e-05       
0.0722597221886           -0.000265416069488       
0.0747040678253           -0.000406375140026       
0.077223682079            -0.000473612404265       
0.0798222266644           -0.000497536329652       
0.082503355378            -0.000531308392488       
0.0852707209292           -0.000548839124888       
0.0881279805321           -0.000547042517779       
0.0910788008939           -0.000510698690027       
0.0941268631905           -0.000454163443867       
0.0972758685838           -0.000393496284464       
0.100529544822            -0.000273786242203       
0.103891654451            -0.000109769509572       
0.107366005146            0.000115384849431        
0.110956462695            0.000253105054685        
0.114666967127            0.000284802215966        
0.118501552502            4.99774543687e-05        
0.122464370893            -0.00017210654493        
0.126559721084            -0.00035054845211        
0.130792082564            -0.000242507930109       
0.135166155454            0.000124668695515        
0.139686907065            0.000215128569463        
0.144359625959            -0.000164802869515       
0.149189984511            -0.000247493606062       
0.154184111266            4.67529132634e-05        
0.159348674692            0.000120832236856        
0.164690980373            -6.96051719528e-05       
0.170219084301            -8.40959457373e-05       
0.175941925676            -9.39594423024e-05       
0.181869483677            -4.43272277445e-07       
0.188012964033            0.000130685911133        
0.19438502307             -5.46217028066e-05       
0.201000039416            1.8560678141e-05         
0.207874446973            -0.000126202021639       
0.215027147535            -1.05008989369e-05       
0.222480028165            0.000178580876168        
0.230258618047            3.34196323114e-05        
0.238392933609            -0.000108498836122       
0.246918581472            7.26291003339e-05        
0.255878220374            0.000124330288877        
0.265323531959            5.14091187402e-06        
0.275317927775            1.46833312191e-06        
0.285940345907            0.000114528027978        
0.297290702456            9.00927445413e-05        
0.30949793089             0.000113343337183        
0.322732205846            4.43620806094e-05        
0.337224198009            7.60545293716e-05        
0.353296679567            4.29974458271e-05        
0.371418972504            5.2922814289e-05         
0.392306252993            9.6884104625e-05         
0.417113209925            0.000112189335221        
0.447841727718            7.99824270089e-05        
0.488268708651            0.000166854845651        
0.546140498702            0.000107445579376        
0.637350068882            0.000176310527104        
0.783056289416            0.000151436732708        
0.983924826904            0.000218443009995        
1.23864985013             0.000205150571645        
1.55936762009             0.000229104721194        
1.96312752317             0.000237372218856        
2.47143112551             0.000243353317579        
3.1113474474              0.00026887300055         
3.91695436646             0.000268667206012        
4.93115338877             0.000236584362605        
6.20795431058             0.000277008939425        
7.81535143684             0.000308416870076        
