k                         CCL lin error            
6.84494763902e-06         -8.79938640922e-06       
8.61727852516e-06         -7.4505844891e-06        
1.08485109158e-05         -4.68913274898e-06       
1.36574660721e-05         -3.56602465175e-07       
1.71937310988e-05         -6.25055412307e-08       
2.16456250039e-05         -5.87375175794e-08       
2.72502273716e-05         -5.49724944327e-08       
3.43060037152e-05         -5.12142236991e-08       
4.31886998542e-05         -4.74637519286e-08       
5.43713517488e-05         -4.37023434584e-08       
6.84494763902e-05         -3.99331325298e-08       
8.61727852516e-05         -3.61921188798e-08       
0.0001                    1.12897952188e-08        
0.000108485109158         -3.25153313019e-08       
0.000136574660721         -2.88556540337e-08       
0.000171937310988         -2.51191989671e-08       
0.000216456250039         -2.14519781812e-08       
0.000272502273716         -1.81007608801e-08       
0.000343060037152         -1.50043230341e-08       
0.000431886998542         -1.18531197904e-08       
0.000543713517488         -8.81551421141e-09       
0.000684494763902         -6.1140648872e-09        
0.000861727852516         -4.97465292729e-09       
0.00108485109158          -3.8248223536e-09        
0.00136574660721          -2.81975391261e-09       
0.00171937310988          -3.0794116929e-09        
0.00216456250039          -5.17633558168e-09       
0.00272502273716          -9.16407249654e-09       
0.00343060037152          -1.33297171628e-08       
0.00431886998542          -1.69563491421e-08       
0.00543713517488          -2.47124566568e-08       
0.00684494763902          -4.01495393201e-08       
0.00861727852516          -5.67413990169e-08       
0.01                      -1.03661923061e-05       
0.0108485109158           -7.40418805063e-08       
0.0136574660146           -1.21091885528e-07       
0.0171936796316           -1.97315353459e-07       
0.0216374926779           9.65006364966e-07        
0.0269457100409           -6.71647072864e-07       
0.0315842169811           -2.37737937721e-07       
0.0349231241136           1.46375827253e-06        
0.0376500636651           1.27448745663e-06        
0.040072443178            -7.81829147823e-08       
0.0423250691501           -7.93103984627e-08       
0.0444783620975           -1.25361248238e-06       
0.0465741524452           -2.24228255277e-07       
0.048639724379            -5.80269470126e-07       
0.050694200078            -7.93587576515e-07       
0.0527517807774           -3.5432375332e-07        
0.0548235362656           -7.77597798879e-07       
0.0569184598728           -4.88266162867e-07       
0.0590441239047           -2.08873253967e-07       
0.0612071045869           -5.57102765228e-07       
0.0634132674219           4.09165906203e-06        
0.0656679644542           1.36963838195e-06        
0.0679761739368           5.34010251485e-07        
0.0703426011531           -6.35729019688e-07       
0.0727717523152           2.91770875262e-08        
0.0752679893483           -2.68679369513e-07       
0.0778355708187           7.6119907713e-07         
0.0804786826456           -2.45732467353e-07       
0.0832014611845           -5.13788434578e-08       
0.0860080105817           -7.70377283385e-07       
0.0889024158425           -3.30943854858e-06       
0.0918887527482           -3.13426599228e-06       
0.0949710955568           -2.19602502921e-06       
0.0981535232865           -5.50374294216e-07       
0.1                       -9.38212834863e-06       
0.101440125297            -4.50000590158e-07       
1.0                       -2.83494533072e-05       
10.0                      -5.28085823051e-06       
