# Matter power spectrum P(k) at redshift z=2.5
# for k=7.90332e-06 to 12.5389 h/Mpc,
# number of wavenumbers equal to 124
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.903320413120e-06       2.172638215571e+01 
       9.949690905629e-06       2.716292527245e+01 
       1.252591872059e-05       3.395980674193e+01 
       1.576919738342e-05       4.245736726899e+01 
       1.985224330959e-05       5.308106875344e+01 
       2.499249358356e-05       6.636273155837e+01 
       3.146368527645e-05       8.296705756284e+01 
       3.961043294322e-05       1.037246862982e+02 
       4.986658060439e-05       1.296733227789e+02 
       6.277830552214e-05       1.621088029348e+02 
       7.903320413120e-05       2.026481781896e+02 
       9.949690905629e-05       2.533071260670e+02 
       1.252591872059e-04       3.165939022171e+02 
       1.576919738342e-04       3.956212482813e+02 
       1.985224330959e-04       4.942357173600e+02 
       2.499249358356e-04       6.171594328270e+02 
       3.146368527645e-04       7.701310314254e+02 
       3.961043294322e-04       9.600190411829e+02 
       4.986658060439e-04       1.194863376043e+03 
       6.277830552214e-04       1.483787043801e+03 
       7.903320413120e-04       1.836725522586e+03 
       9.949690905629e-04       2.263934517979e+03 
       1.252591872059e-03       2.775141346701e+03 
       1.576919738342e-03       3.377887162715e+03 
       1.985224330959e-03       4.074911813104e+03 
       2.499249358356e-03       4.860953042556e+03 
       3.146368527645e-03       5.718997263362e+03 
       3.961043294322e-03       6.615885755087e+03 
       4.986658060439e-03       7.496200088774e+03 
       6.277830552214e-03       8.288005110915e+03 
       7.903320413120e-03       8.889301420718e+03 
       9.949690905629e-03       9.180854694612e+03 
       1.252591872057e-02       9.036914327013e+03 
       1.576919726718e-02       8.364431344034e+03 
       1.985215304001e-02       7.179311587638e+03 
       2.497979488188e-02       5.702870024445e+03 
       3.103488408937e-02       4.409139951427e+03 
       3.616536500645e-02       3.738245398458e+03 
       3.988167709342e-02       3.429916983493e+03 
       4.294220684143e-02       3.242519408841e+03 
       4.567288720409e-02       3.099903309319e+03 
       4.821865890063e-02       2.971876861541e+03 
       5.065608880488e-02       2.844288329007e+03 
       5.303102340169e-02       2.710458025794e+03 
       5.537354620574e-02       2.568103752595e+03 
       5.770484150029e-02       2.417874062635e+03 
       6.004070354804e-02       2.262447911822e+03 
       6.239348474055e-02       2.105807551193e+03 
       6.477324909292e-02       1.952562547520e+03 
       6.718849138136e-02       1.807346008642e+03 
