k                         CCL lin error            
9.68294432934e-06         -3.61176935214e-06       
1.21901046772e-05         -2.94705707089e-06       
1.53464325505e-05         -1.87639075151e-06       
1.93200139183e-05         -2.23562817725e-07       
2.43224564779e-05         -1.11661683955e-07       
3.06201585373e-05         -1.11658276352e-07       
3.85484956958e-05         -1.11654940161e-07       
4.85296808179e-05         -1.11658434736e-07       
6.10952484079e-05         -1.11649595668e-07       
7.69143607606e-05         -1.11648156238e-07       
9.68294432934e-05         -1.11644254181e-07       
0.000121901046772         -1.11616319869e-07       
0.000153464325505         -1.11621531408e-07       
0.000193200139183         -1.11563547517e-07       
0.000243224564779         -1.11536750661e-07       
0.000306201585373         -1.11481982548e-07       
0.000385484956958         -1.11352079599e-07       
0.000485296808179         -1.11322446534e-07       
0.000610952484079         -1.11213791625e-07       
0.000769143607606         -1.10705070095e-07       
0.000968294432934         -1.11104971759e-07       
0.00121901046772          -1.09397265808e-07       
0.00153464325505          -1.0939669057e-07        
0.00193200139183          -1.07897553307e-07       
0.00243224564779          -1.07407616873e-07       
0.00306201585373          -1.05076992256e-07       
0.00385484956958          -1.03258364231e-07       
0.00485296808179          -1.00925484574e-07       
0.00610952484079          -9.19725255885e-08       
0.00769143607606          -9.37311685247e-08       
0.00968294432934          -8.37152660174e-08       
0.0121901046772           -8.20833431241e-08       
0.0153464325505           -7.26174824692e-08       
0.0193200135725           -7.17058423682e-08       
0.0243222426191           -7.04501221933e-08       
0.0305951616889           -1.06204191924e-07       
0.0378357245187           -3.18547826122e-08       
0.0436878007627           -1.10859260384e-06       
0.0479842829171           -2.23359771721e-06       
0.0515680173907           2.0715062989e-07         
0.0547871926984           -2.42226850664e-07       
0.0578002362668           -1.71697838598e-08       
0.0606923300383           -1.48563907641e-08       
0.0635151281059           -7.87801571251e-08       
0.0663028495774           -3.90920275829e-07       
0.0690797741745           -1.47356833131e-07       
0.0718641177617           -2.09956893926e-07       
0.074670202633            -1.34646568479e-07       
0.0775097514243           1.60107622297e-08        
0.0803926983096           1.05957960441e-07        
0.0833277188636           -5.4956075944e-08        
0.0863225880675           -6.14442112144e-08       
0.0893844290572           -1.98599442555e-08       
0.0925198899731           7.95413018873e-08        
0.0957352720477           6.96485853677e-07        
0.0990366237267           5.30381066852e-08        
0.102429810571            -7.85997710931e-07       
