k                         CCL lin error            
9.21791714759e-06         -5.17997396103e-06       
1.16046701409e-05         -4.38268721274e-06       
1.46094141359e-05         -2.69345987493e-06       
1.83921627071e-05         -1.70880291805e-07       
2.31543610098e-05         -2.57761342846e-13       
2.91496134691e-05         1.49328791951e-12        
3.66971891402e-05         4.24085431105e-12        
4.61990239501e-05         1.1132638767e-12         
5.81611252508e-05         9.91943295089e-12        
7.32205185568e-05         7.16634747578e-13        
9.21791714759e-05         2.21142331659e-11        
0.000116046701409         3.58358954765e-12        
0.000146094141359         1.37174933073e-11        
0.000183921627071         1.37616134426e-11        
0.000231543610098         8.83146482754e-11        
0.000291496134691         4.82253622407e-11        
0.000366971891402         1.21640692536e-10        
0.000461990239501         9.56493975156e-11        
0.000581611252508         1.56008766364e-10        
0.000732205185568         3.95584133505e-10        
0.000921791714759         -5.23854602492e-11       
0.00116046701409          9.49314430945e-10        
0.00146094141359          9.52415070079e-11        
0.00183921627071          8.88465806485e-10        
0.00231543610098          2.90366428098e-11        
0.00291496134691          1.113374152e-09          
0.00366971891402          7.15295721653e-12        
0.00461990239501          1.90749215739e-09        
0.00581611252508          9.18154961146e-11        
0.00732205185568          5.84947649672e-09        
0.00921791714759          2.01562637773e-10        
0.0116046701409           8.43940662605e-09        
0.0146094141354           2.601463918e-10          
0.0183921613799           -1.27898274433e-08       
0.0231537897213           -3.62583773388e-08       
0.0290999348697           4.4430299424e-07         
0.0356295068673           2.15852431248e-08        
0.0405783865067           1.59942554334e-07        
0.0443115145684           4.74749377782e-08        
0.0474850425933           -2.82738372812e-07       
0.0503648815651           -1.22197617885e-07       
0.0530766251125           7.85635616604e-08        
0.055689691142            1.55318476539e-07        
0.058247020626            -1.30874912076e-07       
0.0607774945495           -7.60304845072e-07       
0.0633018548603           -6.29462020205e-09       
0.0658358207484           -1.18848415693e-06       
0.0683918580353           -3.53208949068e-08       
0.0709802457466           -2.66088938434e-08       
0.0736097507808           1.17373256612e-07        
0.0762880718429           -2.70648075787e-07       
0.0790221412175           -8.16053380553e-10       
0.0818183354992           1.19999332383e-07        
0.0846826260255           5.27032020243e-07        
0.0876206881841           2.63982247393e-07        
0.0906379819307           7.32191065856e-07        
0.0937398116896           1.04260972945e-06        
0.0969313711996           -2.95012771544e-08       
0.100217777196            -1.45322505373e-07       
