z=1 k                     pk_nl                    
1.8799884426e-07          0.483317001737           
2.36676522427e-07         0.604758627412           
2.97958088459e-07         0.756714529212           
3.75107009211e-07         0.94685193855            
4.72231746037e-07         1.18476460928            
5.94504545342e-07         1.48245688924            
7.48436879559e-07         1.85494942308            
9.42226206801e-07         2.32103704813            
1.1861925154e-06          2.9042371246             
1.49332790092e-06         3.6339761499             
1.8799884426e-06          4.5470745299             
2.36676522427e-06         5.68960442434            
2.97958088459e-06         7.11921440756            
3.75107009211e-06         8.90803823969            
4.72231746037e-06         11.1463345163            
5.94504545342e-06         13.9470408418            
7.48436879559e-06         17.4514723166            
9.42226206801e-06         21.8364518661            
1.1861925154e-05          27.3232321864            
1.49332790092e-05         34.1886594804            
1.8799884426e-05          42.7791471359            
2.36676522427e-05         53.5279655362            
2.97958088459e-05         66.9774350894            
3.75107009211e-05         83.8059751748            
4.72231746037e-05         104.862305961            
5.94504545342e-05         131.208075839            
7.48436879559e-05         164.171047857            
9.42226206801e-05         205.411337775            
0.00011861925154          257.00368637             
0.000149332790092         321.539213539            
0.00018799884426          402.250429357            
0.000236676522427         503.163242485            
0.000297958088459         629.278883856            
0.000375107009211         786.786512238            
0.000472231746037         983.303231243            
0.000594504545342         1228.13241591            
0.000748436879559         1532.52429473            
0.000942226206801         1909.91308748            
0.0011861925154           2376.06853624            
0.00149332790092          2948.92012172            
0.0018799884426           3648.19250811            
0.00236676522427          4494.20481969            
0.00297958088459          5505.34169191            
0.00375107009211          6673.66340824            
0.00472231746037          8033.82485765            
0.00594504545342          9553.83662133            
0.00748436879559          11185.7618141            
0.00942226206801          12840.6213036            
0.011861925154            14373.0280468            
0.0149332790062           15581.6202719            
0.0187998786761           16234.9965432            
0.0236659633838           16155.7066346            
0.0296885907986           15380.8273885            
0.0358362222496           14412.7723298            
0.0402951421124           13765.1120388            
0.0437655287702           13306.8718727            
0.0467698872765           12932.0912198            
0.0495234432806           12595.6933582            
0.0521319223647           12274.8174638            
0.0546554353168           11956.3587986            
0.0571319389652           11633.7065634            
0.0595873696459           11303.0770193            
0.0620405942902           10964.1080501            
0.0645060649327           10618.5158761            
0.0669953478738           10269.8055447            
0.0695180561764           9922.28440721            
0.072082445109            9581.74202589            
0.0746958070023           9253.16555946            
0.0773647413896           8941.47862899            
0.0800953446475           8650.26681556            
0.0828933459557           8381.54548919            
0.0857642064212           8135.22395091            
0.0887131922789           7908.92302387            
0.0917454294414           7698.30682142            
0.0948659443775           7497.16813569            
0.0980796948268           7298.42043574            
0.101391592889            7095.30089091            
0.104806522394            6882.26322451            
0.108329352029            6656.83633615            
0.111964945414            6419.71114425            
0.115718169147            6175.40184388            
0.119593899685            5931.25883267            
0.123597029889            5695.83537152            
0.127732475968            5476.85067304            
0.132005185575            5278.84145818            
0.136420147739            5102.15378041            
0.140982405339            4942.17660953            
0.145697070809            4791.03313744            
0.150569345743            4639.54663799            
0.155604545095            4481.21886377            
0.16080812665             4313.09954445            
0.166185726476            4138.74933713            
0.171743201093            3966.55538295            
0.177486677168            3805.62885755            
0.183422609631            3660.57103478            
0.189557849255            3530.12183446            
0.195899720967            3408.85031255            
0.202456114413            3289.41384596            
0.209235588731            3166.3068317             
0.216247493978            3039.75151016            
0.223502112381            2914.96519212            
0.23101082348             2797.54377758            
0.238786298474            2690.19136437            
0.246842730682            2590.33060452            
0.255196111212            2492.55674974            
0.263864561845            2394.09434475            
0.272868741127            2296.17497762            
0.282232345191            2202.36183435            
0.291982732536            2114.34783472            
0.302151712973            2030.31721605            
0.312776556852            1947.63824121            
0.323901304041            1865.84825948            
0.335578487261            1786.76492413            
0.34787143814             1710.89170368            
0.360857428839            1636.96862047            
0.374632038023            1564.23054765            
0.389315355259            1492.92231683            
0.405061023482            1423.26378535            
0.422069803125            1354.52393258            
0.440610605735            1286.23533203            
0.461054392307            1218.31186007            
0.483931326708            1149.96147126            
0.510032397522            1080.52762359            
0.540601784921            1008.94241011            
0.577728481001            933.611562022            
0.625209414138            852.083660971            
0.690579671349            760.511484031            
0.789645363715            653.700278073            
0.950319487174            530.79358679             
1.18812711205             409.497319907            
1.49544198386             305.36495632             
1.88264727272             218.359935797            
2.37011248945             149.161097723            
2.98379484178             97.912077999             
3.7563751499              62.3151827268            
4.72899613244             38.7666950444            
5.9534534034              23.7269888349            
7.49495377747             14.3563339421            
9.43558777068             8.61720372999            
