z=1 k                     pk_nl                    
1.59805798894e-07         1.13651243691            
2.0118358118e-07          1.41229100346            
2.53275122783e-07         1.75498816703            
3.18854488247e-07         2.18084195033            
4.01414017918e-07         2.71003058691            
5.05350307808e-07         3.36762862658            
6.36198344357e-07         4.18479504304            
8.00926262652e-07         5.20024963976            
1.00830642503e-06         6.46210771083            
1.26938258134e-06         8.0301598883             
1.59805798894e-06         9.97870520226            
2.0118358118e-06          12.4000715924            
2.53275122783e-06         15.4089906838            
3.18854488247e-06         19.1480341159            
4.01414017918e-06         23.7943690168            
5.05350307808e-06         29.5681527136            
6.36198344357e-06         36.7429644502            
8.00926262652e-06         45.6587683938            
1.00830642503e-05         56.7380221612            
1.26938258134e-05         70.5056941308            
1.59805798894e-05         87.6141511789            
2.0118358118e-05          108.873553857            
2.53275122783e-05         135.291168976            
3.18854488247e-05         168.11820921             
4.01414017918e-05         208.909088627            
5.05350307808e-05         259.594554853            
6.36198344357e-05         322.572217191            
8.00926262652e-05         400.818249075            
0.000100830642503         498.024675125            
0.000126938258134         618.767050522            
0.000159805798894         768.707183366            
0.00020118358118          954.834365296            
0.000253275122783         1185.74535053            
0.000318854488247         1471.95686878            
0.000401414017918         1826.23393559            
0.000505350307808         2263.9036766             
0.000636198344357         2803.11136383            
0.000800926262652         3464.95829842            
0.00100830642503          4273.39310188            
0.00126938258134          5254.48578398            
0.00159805798894          6434.78286169            
0.0020118358118           7838.55533816            
0.00253275122783          9483.06587735            
0.00318854488247          11371.3703282            
0.00401414017918          13448.9498595            
0.00505350307808          15714.3163694            
0.00636198344357          18035.3000333            
0.00800926262652          20239.7233933            
0.0100830642503           22077.9887844            
0.0126938258131           23231.4736106            
0.0159805789943           23369.0952939            
0.0201179464102           22289.7710653            
0.0252897155818           20164.9465259            
0.0310288160285           17873.6606947            
0.035423965751            16460.5386401            
0.0387219427069           15588.1052428            
0.0415161728706           14935.8574658            
0.0440472379257           14384.0248851            
0.0464279913952           13878.1489645            
0.0487204985743           13389.1973867            
0.0509630136017           12902.3101544            
0.0531811941917           12410.3291638            
0.055393426512            11911.7903748            
0.0576136186753           11408.9761625            
0.0598527828552           10907.6913816            
0.0621199870537           10414.8921765            
0.0644229561638           9938.58079621            
0.0667684669384           9486.46170352            
0.0691626161799           9065.40769944            
0.0716110078465           8679.89800182            
0.0741188865217           8332.09117543            
0.0766912343375           8020.82293848            
0.0793328423399           7741.90331231            
0.0820483635628           7488.2720605             
0.0848423527563           7250.76190689            
0.0877192962238           7019.25854698            
0.0906836342513           6784.01462779            
0.0937397779741           6537.54812285            
0.0968921220995           6276.14565621            
0.100145054619            6001.05910124            
0.103502964457            5718.21124503            
0.106970247881            5437.04113547            
0.110551314419            5168.2372741             
0.114250592961            4921.4062776             
0.118072538737            4701.9709531             
0.122021641785            4510.16050199            
0.126102437548            4340.65967203            
0.130319520226            4183.7442743             
0.134677559495            4028.74305721            
0.139181321202            3867.8253546             
0.143835692655            3697.27191527            
0.148645713148            3520.48982064            
0.153616610361            3346.22519183            
0.158753843357            3184.27808695            
0.164063152955            3040.03872137            
0.169550620381            2912.57518814            
0.175222735283            2796.45906537            
0.181086474411            2684.42868876            
0.187149392618            2570.45800227            
0.193419728265            2453.81962698            
0.199906525685            2339.0580936             
0.206619778171            2231.61834695            
0.213570595926            2134.45006572            
0.220771404824            2045.78621161            
0.228236183597            1960.66239126            
0.235980749528            1876.04599243            
0.244023106036            1792.43751375            
0.252383870104            1712.69310808            
0.261086803878            1638.71016268            
0.270159483802            1569.22245543            
0.27963415363             1501.94959292            
0.289548826741            1435.99967298            
0.299948731589            1372.73464076            
0.310888237507            1312.6450211             
0.322433465666            1254.9652145             
0.334665898121            1198.85506114            
0.347687475651            1144.31022721            
0.361627976652            1091.58987418            
0.376655999191            1040.18103118            
0.392995836704            989.549971605            
0.410954389213            939.665371061            
0.430965976573            889.954550709            
0.453670860959            839.870202304            
0.480061349962            788.683800878            
0.511773408389            735.255582244            
0.551716244037            677.862126642            
0.605534660431            613.71885363             
0.685006420258            538.567132631            
0.812921588965            448.817506139            
1.01012200332             353.17702428             
1.27088837627             268.763427548            
1.59994397673             198.4131874              
2.01421010786             141.257118521            
2.53574028947             96.7669776338            
3.19230788812             63.9566335755            
4.01887752263             41.0121544503            
5.05946704013             25.6714668834            
6.36949162695             15.7719012543            
8.01871486938             9.55427829345            
