k                         CCL nl error             
6.04001854053e-06         -7.73427202448e-06       
7.60393282838e-06         -6.28893174161e-06       
9.57278426722e-06         -3.9908651515e-06        
1.20514213756e-05         -3.50793078597e-07       
1.5171840618e-05          -1.04665126941e-07       
1.91002156977e-05         -1.00857100586e-07       
2.40457469126e-05         -1.03248374623e-07       
3.02718018338e-05         -1.03122645971e-07       
3.81099405894e-05         -1.03152918624e-07       
4.797757265e-05           -1.03130600237e-07       
6.04001854053e-05         -1.0314165859e-07        
7.60393282838e-05         -1.03147665369e-07       
9.57278426722e-05         -1.03143668675e-07       
0.000120514213756         -1.03106196343e-07       
0.00015171840618          -1.03029098408e-07       
0.000191002156977         -1.02989508457e-07       
0.000240457469126         -1.0278433636e-07        
0.000302718018338         -1.02274061649e-07       
0.000381099405894         -1.01355574075e-07       
0.0004797757265           -1.00196396703e-07       
0.000604001854053         -9.91946193032e-08       
0.000760393282838         -9.97445867614e-08       
0.000957278426722         -1.04919169214e-07       
0.00120514213756          -1.14279371652e-07       
0.0015171840618           -1.18557395007e-07       
0.00191002156977          -1.21019628957e-07       
0.00240457469126          -1.22555723239e-07       
0.00302718018338          -1.22041879569e-07       
0.00381099405894          -0.000313983023199       
0.004797757265            -0.000398840162299       
0.00604001854053          -0.000473444206285       
0.00760393282838          -0.000567586661262       
0.00957278426722          -0.000661145478146       
0.0120514213596           -0.000734535873355       
0.0151718214434           -0.000752119812583       
0.0190963758069           -0.000652646946686       
0.0238691248243           -0.000344791378188       
0.0283101712524           0.000125704792833        
0.031487654368            0.000566278004788        
0.0340372082654           0.000979151720286        
0.0362809252503           0.00138527026034         
0.0383562997163           0.00179361052056         
0.0403335137562           0.00221344471598         
0.0422535747521           0.0026499739943          
0.0441429035651           0.003105545276           
0.0460198393301           0.00358610959605         
0.0478978941931           0.00409473321239         
0.0497875304223           0.00463604916487         
0.0516971989048           0.00521220273219         
0.0536339797656           0.0058257367436          
0.0556039952977           0.00647658776011         
0.0576126859218           0.00716390193332         
0.059665000199            0.00788298333874         
0.0617655289256           0.00863396746515         
0.0639186016799           0.00941638887692         
0.0661283574454           0.0102275799223          
0.0683987968901           0.0110695564864          
0.0707338213881           0.0119572990389          
0.0731372622866           0.0128940926144          
0.0756129029006           0.0138940905548          
0.078164495049            0.0149700097311          
0.0807957715006           0.0161349790072          
0.0835104554007           0.0174004221656          
0.0863122675568           0.0187675382219          
0.0892049323266           0.0202317192315          
0.0921921827719           0.0217780183352          
0.095277765684            0.0233800678833          
0.098465447054            0.0250167516483          
0.10175901854             0.0266786311183          
0.105162305473            0.0283822798712          
0.108679176919            0.0301656813503          
0.112313558344            0.0320758864334          
0.116069447378            0.0341570333678          
0.119950933214            0.0364450546721          
0.123962220164            0.0389255060597          
0.12810765592             0.0415554793031          
0.132391765087            0.0442733438166          
0.136819288631            0.0470293249392          
0.141395229937            0.0498400371746          
0.146124908317            0.0527815222497          
0.151014020976            0.055934407642           
0.156068714667            0.0593437821054          
0.161295668608            0.0630329333266          
0.166702190653            0.0669484322834          
0.172296329271            0.0709989549412          
0.178087004658            0.0751721991482          
0.184084163286            0.0795330683833          
0.190298961531            0.0841789301311          
0.196743985775            0.0892046367834          
0.203433518823            0.0945572954597          
0.210383865692            0.100182107217           
0.217613756458            0.106082154171           
0.225144850183            0.112316705251           
0.233002373126            0.119038757253           
0.24121593769             0.126241923343           
0.249820608171            0.133917980106           
0.25885830898             0.14209006452            
0.26837971658             0.150933177862           
0.278446848331            0.160498554727           
0.289136678056            0.17085632145            
0.30054630272             0.182178700521           
0.312800520281            0.194615108181           
0.326063279692            0.208413357969           
0.340555586054            0.223858988815           
0.356584641543            0.24141678812            
0.374593547626            0.261711318012           
0.395250888774            0.285717575856           
0.419623039078            0.314993751199           
0.449531347661            0.352320205213           
0.488353564615            0.402959864928           
0.542920382798            0.478181774853           
0.627475728446            0.603524772732           
0.764136232136            0.826798608462           
0.958562903547            1.18343740822            
1.20666588484             1.69524843495            
1.51910182363             2.41351805441            
1.91243588842             3.40789970857            
2.40761413836             4.76014808703            
3.03100662058             6.55674302636            
3.81581125796             8.87495121475            
4.80382175926             11.7625565432            
6.04765328646             15.2189116934            
