k                         pk_nl                    
7.05504101126e-06         294.00077543             
8.88177041033e-06         361.411991441            
1.11814864713e-05         444.279874318            
1.40766574603e-05         546.148471547            
1.77214617899e-05         671.370488248            
2.23099985815e-05         825.300453532            
2.80866241513e-05         1014.51729889            
3.53589648756e-05         1247.10476857            
4.45142994166e-05         1532.99320639            
5.60401827238e-05         1884.37679651            
7.05504101126e-05         2316.22004955            
8.88177041033e-05         2846.8691797             
0.000111814864713         3498.78190821            
0.000140766574603         4299.38380444            
0.000177214617899         5282.04653845            
0.000223099985815         6487.15939569            
0.000280866241513         7963.22776192            
0.000353589648756         9767.88602182            
0.000445142994166         11968.6655425            
0.000560401827238         14643.281836             
0.000705504101126         17878.9274036            
0.000888177041033         21769.4558371            
0.00111814864713          26408.8107079            
0.00140766574603          31880.970722             
0.00177214617899          38243.0093695            
0.00223099985815          45500.3874755            
0.00280866241513          53575.8819109            
0.00353589648756          62033.3547537            
0.00445142994166          70870.9735918            
0.00560401827238          79338.9638375            
0.00705504101126          86593.3716043            
0.00888177041033          91530.6981161            
0.0111814864713           92855.4707024            
0.0140766573418           89399.8790298            
0.0177213728072           80736.6775352            
0.0222978229364           68188.9619462            
0.0276856101558           55809.0626208            
0.0322176804742           48618.6598405            
0.0355063364453           44956.2890289            
0.0382199536885           42592.6029992            
0.0406436036726           40771.8369478            
0.0429044858875           39180.7902727            
0.0450699738209           37664.0534379            
0.0471804858395           36137.6011746            
0.0492625815293           34564.4663933            
0.0513349848558           32934.4760029            
0.0534116687982           31256.751532             
0.0555035700209           29558.0846983            
0.0576196051739           27874.4955113            
0.0597673050251           26246.5882863            
0.0619532270566           24713.8790573            
0.0641832333418           23310.7820604            
0.0664626831056           22062.4579831            
0.0687965693299           20982.7904195            
0.0711896175221           20070.9103307            
0.0736463581962           19312.8414113            
0.0761711806534           18680.9114288            
0.0787683731814           18136.116145             
0.0814421532275           17632.5625606            
0.0841966900783           17122.2616397            
0.0870361219112           16562.9829638            
0.0899645686387           15927.6785395            
0.0929861416694           15209.8228905            
0.0961049515109           14426.6208811            
0.0993251140152           13616.3419404            
0.102650755977            12827.0752285            
0.106086020748            12106.0726249            
0.109635074487            11487.7601136            
0.113302113665            10983.8871324            
0.117091374397            10582.4682307            
0.121007144206            10249.2779098            
0.125053776782            9938.36464442            
0.129235710309            9606.67464311            
0.133557489954            9222.51368595            
0.138023795084            8786.86349095            
0.142639471826            8330.71141947            
0.147409571626            7897.08873419            
0.152339396506            7518.67493938            
0.157434551834            7206.50326678            
0.162701007584            6949.35399975            
0.168145169221            6717.21113963            
0.173773959691            6477.04839295            
0.179594914321            6213.63345532            
0.185616290977            5936.22496362            
0.191847198493            5668.72462351            
0.198297747264            5433.01661089            
0.204979227081            5231.52375299            
0.211904318861            5047.74554507            
0.219087349019            4863.95899305            
0.226544598094            4673.20340813            
0.234294679161            4484.79901442            
0.242359007023            4310.92886105            
0.250762386838            4153.71120153            
0.259533761916            4004.46277419            
0.268707176451            3855.42112731            
0.278323032862            3708.52515983            
0.288429759621            3569.067339              
0.299086061519            3436.96345399            
0.310364013429            3308.34324254            
0.322353403925            3181.10124321            
0.335167979571            3057.15245301            
0.348954665869            2936.45654059            
0.363907609513            2816.26184481            
0.380290337623            2696.41627636            
0.398472207433            2576.06349607            
0.418991356322            2453.11746393            
0.442669849219            2325.837513              
0.470839002244            2190.8922654             
0.505815520205            2043.48258057            
0.551988698863            1875.46362285            
0.618388840479            1673.25972534            
0.723433479662            1419.16322493            
0.890558680728            1120.52120316            
1.11932179085             837.899754286            
1.40910830892             602.452233835            
1.77396213166             417.345810093            
2.23328600705             279.709312752            
2.81154050607             182.374383478            
3.53951978939             116.317250496            
4.45599140841             72.9210653694            
5.60976081878             45.1172911942            
