k                         CCL lin error            
6.53049041717e-06         -8.83999574059e-06       
8.22140033765e-06         -6.77919160283e-06       
1.03501298056e-05         -4.22577045361e-06       
1.30300414276e-05         -2.78726845349e-07       
1.640385027e-05           -2.17373559111e-13       
2.06512239561e-05         1.93491597052e-12        
2.5998350623e-05          4.17335513106e-12        
3.27299842641e-05         1.02461866897e-11        
4.12046089177e-05         8.58298871486e-12        
5.18735292495e-05         5.67174879036e-12        
6.53049041717e-05         4.35755743926e-12        
8.22140033765e-05         2.97657814987e-11        
0.000103501298056         8.39199859822e-11        
0.000130300414276         1.17833365692e-10        
0.0001640385027           8.4262583259e-11         
0.000206512239561         7.21324820135e-12        
0.00025998350623          4.99399419806e-11        
0.000327299842641         2.26306196038e-10        
0.000412046089177         3.63847336062e-10        
0.000518735292495         4.25559591262e-10        
0.000653049041717         2.28122778679e-10        
0.000822140033765         -1.73042782132e-12       
0.00103501298056          3.22224191323e-10        
0.00130300414276          7.81051714215e-10        
0.001640385027            1.15262521529e-09        
0.00206512239561          7.32190897699e-10        
0.0025998350623           2.99892882345e-10        
0.00327299842641          3.79229216064e-11        
0.00412046089177          1.63840763135e-09        
0.00518735292495          2.89560571349e-09        
0.00653049041717          5.69179914757e-09        
0.00822140033765          3.10347674658e-09        
0.0103501298056           1.27844424366e-10        
0.013030041373            -1.63782147502e-09       
0.0164038013112           -3.88709256122e-08       
0.020643481697            -9.26353023997e-08       
0.025708231439            2.73365246225e-09        
0.030134949209            -6.27811466241e-07       
0.0333212875144           3.21225605602e-09        
0.0359234678447           1.6135311899e-08         
0.0382349498748           -1.84784407071e-08       
0.0403844111913           -4.12986742897e-08       
0.0424390653863           -6.45526086663e-08       
0.0444388357009           -6.91924856997e-09       
0.046409761253            3.33746411552e-08        
0.0483700910079           -4.83069837577e-07       
0.050333377332            6.79285506744e-08        
0.0523101839793           3.78055606662e-08        
0.0543090929964           6.53165280996e-09        
0.0563373302671           -2.04712294478e-07       
0.058401171071            -8.63949617125e-09       
0.0605062124172           1.55446966112e-07        
0.0626575613053           4.41698577778e-07        
0.0648599680142           -2.7028574863e-07        
0.0671179223197           1.63095608912e-07        
0.0694357240178           5.04563879143e-07        
0.0718175352058           -5.28297752657e-07       
0.0742674193415           2.29303911867e-09        
0.0767893705517           -2.20719913629e-07       
0.0793873356605           -2.59584961942e-07       
0.0820652307516           -6.59243003988e-07       
0.0848269536394           -1.22418642997e-06       
0.0876763933323           -6.4474182653e-07        
0.0906174373821           -4.60437201804e-08       
0.0936539778799           -3.58933325064e-10       
0.0967899167815           6.87837425818e-07        
0.10002917119             1.10505589852e-06        
0.103375679189            1.89924231769e-06        
0.106833406803            9.5213210153e-07         
0.110406356641            -1.46603442843e-09       
0.114098578786            -1.28509580643e-07       
0.117914184463            -1.21758234199e-06       
0.121857363041            -2.91519970622e-06       
0.125932402908            -1.60355081067e-06       
0.130143716775            -5.84899982269e-07       
0.134495871974            -1.27081339482e-06       
0.138993626371            5.82104393206e-07        
0.143641970547            1.76449054292e-06        
0.148446177012            -2.78417025902e-07       
0.153411857354            -6.77516496145e-07       
0.158545028378            -6.18511877978e-07       
0.163852188606            2.91227855238e-07        
0.169340406811            -4.04750198545e-08       
0.175017424752            1.57547318316e-06        
0.180891776887            2.29959468095e-06        
0.186972930669            2.68737890345e-06        
0.193271452097            -1.25803772623e-07       
0.199799202674            -4.05700556986e-08       
0.206569575806            2.09229743229e-07        
0.213597783373            1.61789049146e-07        
0.220901206724            2.77088254856e-06        
0.22849983142             2.06037300051e-07        
0.236416792033            -2.63235344253e-07       
0.244679063423            -1.08835481265e-06       
0.253318349567            8.34470926049e-07        
0.262372242787            3.15832911913e-08        
0.271885759103            -8.02133225879e-07       
0.28191340634             -1.09753504827e-06       
0.292522022231            2.22744435775e-07        
0.303794750877            -2.019293712e-07         
0.315836745917            -1.93469334889e-08       
0.328783570051            -1.24248087457e-07       
0.342813947302            7.32228065851e-07        
0.3581698153              4.20555640208e-07        
0.375189172535            2.20065085795e-07        
0.394362530151            8.29160480397e-08        
0.416435579083            -5.52292474232e-08       
0.442608745653            6.09774476369e-08        
0.474955750642            7.41455008618e-08        
0.517373062984            -1.53680017274e-07       
0.577827075778            -9.1105697423e-08        
0.672743795315            -1.43845400706e-08       
0.824904480257            -4.73909053755e-09       
1.03617955845             3.63375129585e-07        
1.30442257041             -3.75315765726e-08       
1.64217050379             1.16796776063e-07        
2.06737017759             3.66111572344e-08        
2.60266485215             -3.34363064884e-08       
3.27656092076             -7.53647398318e-08       
4.12494580643             4.37502282974e-09        
5.19299909799             -2.9721138413e-08        
6.53759852788             -2.39225583186e-07       
