k                         pk_nl                    
6.71530170222e-06         127.164181632            
8.4540639608e-06          159.16031892             
1.06430359532e-05         199.207094274            
1.33987884201e-05         249.330151374            
1.68680752293e-05         312.06279406             
2.12356485542e-05         390.57764544             
2.67340976009e-05         488.843824726            
3.36562348311e-05         611.82681749             
4.23706892942e-05         765.737986985            
5.33415374677e-05         958.343509124            
6.71530170222e-05         1199.34840854            
8.4540639608e-05          1500.86949144            
0.000106430359532         1878.01337788            
0.000133987884201         2349.5731606             
0.000168680752293         2938.8504892             
0.000212356485542         3674.59465753            
0.000267340976009         4592.02456197            
0.000336562348311         5733.86431379            
0.000423706892942         7151.28501233            
0.000533415374677         8904.58124614            
0.000671530170222         11063.2067495            
0.00084540639608          13704.3359258            
0.00106430359532          16908.9191834            
0.00133987884201          20754.1507827            
0.00168680752293          25301.6804265            
0.00212356485542          30578.9651005            
0.00267340976009          36554.8194264            
0.00336562348311          43107.4524803            
0.00423706892942          49791.9333175            
0.00533415374677          56502.7212971            
0.00671530170222          62491.5624009            
0.0084540639608           66934.006553             
0.0106430359532           68853.7811511            
0.0133987883289           67320.1477415            
0.0168680029464           61909.7705651            
0.0212253105151           53424.8962095            
0.0263797922691           44633.2080932            
0.0307662519582           39269.4735061            
0.0339404219862           36437.0347474            
0.0365514209154           34541.6447747            
0.0388795797134           33034.1169322            
0.0410493096215           31689.1818758            
0.0431262282513           30400.835243             
0.0451495813475           29115.0454311            
0.0471450992032           27805.1998883            
0.0491308884074           26472.0003249            
0.0511204410809           25123.2955116            
0.0531243041672           23781.0955181            
0.0551510672074           22470.5639261            
0.0572079778551           21218.5645532            
0.0593013419215           20050.4157192            
0.0614367925568           18986.8733156            
0.0636194766456           18041.1304172            
0.0658541869586           17217.6307987            
0.0681454576537           16509.956362             
0.0704976343348           15903.7340511            
0.072914926019            15375.2566301            
0.0754014439765           14894.0231217            
0.0779612308792           14427.9934406            
0.0805982827111           13946.1768865            
0.0833165652407           13425.3678385            
0.086120026428            12854.6968201            
0.0890126058486           12237.3887295            
0.0919982420274           11592.6117848            
0.0950808784498           10950.4313761            
0.0982644689354           10342.8045403            
0.101552983007            9797.61923966            
0.104950411856            9330.52931402            
0.108460775488            8941.05738706            
0.11208813161             8613.49734899            
0.115836586825            8319.25162046            
0.119710310683            8027.70082312            
0.123713553138            7714.60872784            
0.127850665973            7370.93206251            
0.13212612874             7005.70383218            
0.136544579804            6643.19520425            
0.141110853114            6310.7012292             
0.14583002137             6023.00144777            
0.150707446375            5777.61012805            
0.155748837475            5559.89126964            
0.160960319204            5351.13049252            
0.166348509512            5135.56594456            
0.171920610314            4910.10179173            
0.177684512583            4686.30552774            
0.183648918861            4478.3437446             
0.189823486875            4293.51929465            
0.196218999109            4128.27812298            
0.20284756464             3970.63254412            
0.209722861553            3812.5804455             
0.216860430981            3655.5142722             
0.224278037523            3505.43594906            
0.231996115962            3367.47811309            
0.240038331526            3238.87051986            
0.248432291363            3114.52381793            
0.257210460159            2992.11271518            
0.266411355442            2874.67059461            
0.276081132368            2763.27289214            
0.286275720863            2656.47881938            
0.297063762174            2552.45609482            
0.308530729161            2451.16413904            
0.320784845238            2353.03317782            
0.33396581772             2257.22242585            
0.348258124922            2162.5512161             
0.363911960722            2068.90699626            
0.38127764194             1975.24895859            
0.400864941333            1880.41926522            
0.423451425089            1782.96726495            
0.450294010078            1680.66515893            
0.483574985853            1570.09224767            
0.527418416043            1445.63730439            
0.590293106932            1297.97809073            
0.689535653042            1114.86043623            
0.847830360967            900.270419975            
1.0654384675              694.38624633             
1.34126987901             517.488458866            
1.6885585888              371.698418741            
2.12576931667             257.396149753            
2.67618501236             172.495127455            
3.36911731873             112.44543453             
4.24146740786             71.6719584015            
5.33969110305             44.8793912646            
